Loại,Tên,Công ty / Tổ chức,Số giấy phép,Địa chỉ tên miền,Trạng thái,URL chi tiết
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG G3 MEDIA,390/GP-BTTTT,http://skylife.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130479
Mạng Xã Hội,,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ VÀ TRUYỀN THÔNG ĐA NỀN TẢNG,86/GP-BTTTT,http://cpc.net.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130452
Mạng Xã Hội,,HIỆP HỘI AN NINH MẠNG QUỐC GIA,387/GP-BTTTT,http://Cybervn.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/127985
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN GREEN TECH,382/GP-BTTTT,http://vdiarybook.vn; http://vdiarybook.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/130486
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TƯ VẤN DỊCH VỤ TRUYỀN THÔNG ATHENA,380/GP-BTTTT,http://educhat.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130485
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ VK,378/GP-BTTTT,https://www.vchat.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130100
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG T&T SOLUTIONS,377/GP-BTTTT,http://techloop.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130494
Mạng Xã Hội,,CÔNG TY TNHH THƯƠNG MẠI - TRUYỀN THÔNG SAVY,374/GP-BTTTT,https://www.ecobiz.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130057
Mạng Xã Hội,SANXINHA,CÔNG TY TNHH CHỨNG KHOÁN SHINHAN VIỆT NAM,375/GP-BTTTT,https://www.sanxinha.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130500
Mạng Xã Hội,,CÔNG TY TNHH GOW AI TECHNOLOGY,369/GP-BTTTT,http://gowoo.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130502
Mạng Xã Hội,,CÔNG TY TNHH CÔNG NGHỆ VXSPACE,366/GP-BTTTT,http://vxspace.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130428
Mạng Xã Hội,,CÔNG TY TNHH MTV GENPRESS,365/GP-BTTTT,https://www.langtuccau.com.vn; www.langtuccau.com; www.thethao247.vn.,Đang hoạt động,https://giayphep.abei.gov.vn/s/131919
Mạng Xã Hội,,CÔNG TY CỔ PHẦN GIA ĐÌNH MỚI,354/GP-BTTTT,http://homefin.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130416
Mạng Xã Hội,,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,359/GP-BTTTT,https://www.fqa.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130744
Mạng Xã Hội,,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,358/GP-BTTTT,https://www.fbang.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130505
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ONE MOUNT REAL ESTATE,352/GP-BTTTT,https://www.onehousing.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/127660
Mạng Xã Hội,,CÔNG TY CỔ PHẦN EDULIVE TOÀN CẦU,351/GP-BTTTT,https://www.aiteacher.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128539
Mạng Xã Hội,,TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,342/GP-BTTTT,https://www.mobigames.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128955
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TIẾP THỊ THỊNH PHÁT,327/GP-BTTTT,https://www.cafeland.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130672
Mạng Xã Hội,,CÔNG TY TNHH NPH DIGITAL,328/GP-BTTTT,http://occo.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128535
Mạng Xã Hội,,CÔNG TY TNHH MTV MVRK,325/GP-BTTTT,https://www.sneakerhead.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130563
Mạng Xã Hội,,CÔNG TY TNHH DOCOSAN,324/GP-BTTTT,http://docosan.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/131220
Mạng Xã Hội,,CÔNG TY TNHH PI GAMING,317/GP-BTTTT,http://xintel.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130441
Mạng Xã Hội,,CÔNG TY CỔ PHẦN HOMETODAY,297/GP-BTTTT,https://www.hometoday.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129925
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HOLA VIỆT NAM,294/GP-BTTTT,http://www.holala.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128506
Mạng Xã Hội,,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ADA VIỆT NAM,285/GP-BTTTT,https://www.findnear.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130568
Mạng Xã Hội,,CÔNG TY TNHH WORLD WAVE CULTURE TECHNOLOGY,271/GP-BTTTT,http://aisport.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128062
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIẢI TRÍ ĐẠI DƯƠNG,246/GP-BTTTT,http://oeg.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129896
Mạng Xã Hội,,CÔNG TY TNHH HUB2S VIỆT NAM,247/GP-BTTTT,http://hub2s.vn; http://hub2s.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/129907
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG SAIGONTV,245/GP-BTTTT,http://hisaigon.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130557
Mạng Xã Hội,,CÔNG TY CỔ PHẦN THEANH 28 TALENT,228/GP-BTTTT,"http://60giay.com.vn, http://60giay.com",Đang hoạt động,https://giayphep.abei.gov.vn/s/128667
Mạng Xã Hội,,CÔNG TY CP TRUYỀN THÔNG BCM,205/GP-BTTTT,http://evabiz.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130548
Mạng Xã Hội,,CÔNG TY CỔ PHẦN DOANH NGHIỆP XÃ HỘI GREEN JOURNEY,202/GP-BTTTT,http://greenstyle.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129889
Mạng Xã Hội,,CÔNG TY TNHH SMART PRO,201/GP-BTTTT,https://www.60shomnay.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130490
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ DIA,169/GP-BTTTT,https://www.irsocial.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130484
Mạng Xã Hội,,CÔNG TY CỔ PHẦN MCN ESPORTS,168/GP-BTTTT,https://www.evoplay.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129880
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ FIRST AI,165/GP-BTTTT,http://www.aihay.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129940
Mạng Xã Hội,SANXINHA,CÔNG TY TNHH CHỨNG KHOÁN SHINHAN VIET NAM,167/GP-BTTTT,https://www.sanxinha.com.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/128016
Mạng Xã Hội,,CÔNG TY TNHH ZIE,166/GP-BTTTT,https://www.zinder.vn; www.zinder.app,Đang hoạt động,https://giayphep.abei.gov.vn/s/128522
Mạng Xã Hội,,CÔNG TY CỔ PHẦN NỘI DUNG THỂ THAO VIỆT,162/GP-BTTTT,https://www.webthethao.com.vn và www.webthethao.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/130720
Mạng Xã Hội,,CÔNG TY CỔ PHẦN VIỆT NAM GOLF,159/GP-BTTTT,https://www.vHandicap.vn và www.vHandicap.com,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/130467
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KIS VIỆT NAM,155/GP-BTTTT,https://www.stockkisvn.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129891
Mạng Xã Hội,,CÔNG TY TNHH TOP TALENT,153/GP-BTTTT,https://www.mbest.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130413
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ADTIMA,152/GP-BTTTT,"https://www.dicungcon.vn, www.dicungcon.com.vn",Đang hoạt động,https://giayphep.abei.gov.vn/s/130423
Mạng Xã Hội,,TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,145/GP-BTTTT,http://www.mobiagri.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130498
Mạng Xã Hội,,CÔNG TY CP CÔNG NGHỆ KTS VIVUPLAZA,143/GP-BTTTT,"https://www.gootravel.vn, www.gootravel.com.vn",Đang hoạt động,https://giayphep.abei.gov.vn/s/128055
Mạng Xã Hội,,CÔNG TY CỔ PHẦN THANH TOÁN HƯNG HÀ,144/GP-BTTTT,https://www.chat365.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/129858
Mạng Xã Hội,,CÔNG TY CP TẬP ĐOÀN MẠNG XÃ HỘI BẤT ĐỘNG SẢN RECBOOK,130/GP-BTTTT,https://www.rebook.vn; www.rebook.com; www.rebook.net; www.rebook.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130432
Mạng Xã Hội,,CÔNG TY TNHH DOCTOR NETWORK VIỆT NAM,131/GP-BTTTT,https://www.doctornetwork.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129808
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ VARS VIỆT NAM,127/GP-BTTTT,https://www.varsconnect.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130438
Mạng Xã Hội,,TẠP CHÍ MÔI TRƯỜNG GIAO THÔNG,128/GP-BTTTT,https://www.diendangiaothong.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130266
Mạng Xã Hội,,CÔNG TY CỔ PHẦN VTC DỊCH VỤ DI ĐỘNG,112/GP-BTTTT,https://www.liveg.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130268
Mạng Xã Hội,,CÔNG TY TNHH MJ ART GROUP,87/GP-BTTTT,https://www.bidu.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129799
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CHỨNG KHOÁN SSI,85/GP-BTTTT,http://iguru.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/128815
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KB VIỆT NAM,80/GP-BTTTT,https://www.cafebuddy.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130463
Mạng Xã Hội,,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,79/GP-BTTTT,https://www.ookk.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130458
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRADENET VIỆT NAM,74/GP-BTTTT,https://www.leox.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128764
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN MEEY LAND,72/GP-BTTTT,https://www.meeychat.vn; www.meeychat.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/130456
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG & SỰ KIỆN BACKSTAGE,62/GP-BTTTT,https://www.backstage.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130385
Mạng Xã Hội,,CÔNG TY TNHH QPAMLD,49/GP-BTTTT,https://www.auto.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131201
Mạng Xã Hội,,CÔNG TY TNHH PHÁT TRIỂN THIẾT KẾ VIỆT NAM,18/GP-BTTTT,https://www.designplus.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129747
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ FIRST AI,13/GP-BTTTT,https://www.hayl.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/129745
Mạng Xã Hội,,CÔNG TY TNHH HIT GROUP,10/GP-BTTTT,https://www.chochay.vn; www.anchay.tv,Đang hoạt động,https://giayphep.abei.gov.vn/s/131192
Mạng Xã Hội,,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,07/GP-BTTTT,https://www.fqa.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/130365
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ 3S GROUP,06/GP-BTTTT,https://www.job3s.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129735
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG TỰ HÀO VIỆT,05/GP-BTTTT,https://www.vietexplore.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129748
Mạng Xã Hội,,CÔNG TY CỔ PHẦN GIẢI PHÁP THỜI TIẾT WEATHERPUS,486/GP-BTTTT,https://www.vietplant.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130481
Mạng Xã Hội,,CÔNG TY CỔ PHẦN XFM,485/GP-BTTTT,https://www.zcast.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/127842
Mạng Xã Hội,,CÔNG TY TNHH PHÁT TRIỂN HƯNG TRUYỀN,474/GP-BTTTT,https://www.vuilife.vn; www.vuilife.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/130570
Mạng Xã Hội,,CÔNG TY TNHH VNG ONLINE,475/GP-BTTTT,https://www.nhatkyzalo.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128596
Mạng Xã Hội,,CÔNG TY CỔ PHẦN VIỆN PHÁT TRIỂN GIÁO DỤC VÀ PHÁP LUẬT,467/GP-BTTTT,https://www.phuhuynh.net.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130372
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CLEVER JOB,59/GP-BTTTT,https://www.jobo.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131097
Mạng Xã Hội,,CÔNG TY TNHH MTV MVRK,434/GP-BTTTT,https://www.Hypebeast.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/128067
Mạng Xã Hội,,CÔNG TY TNHH KFSP,435/GP-BTTTT,https://www.kfsp.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130331
Mạng Xã Hội,,CÔNG TY TNHH PAMABATI,432/GP-BTTTT,https://www.pamabati.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130459
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TÀI CHÍNH THÔNG MINH SMARTF,424/GP-BTTTT,https://www.smartf.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130250
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CHỨNG KHOÁN AN BÌNH,403/GP-BTTTT,http://ABWealth.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/127715
Mạng Xã Hội,,CÔNG TY CỔ PHẦN STOCKBOOK,397/GP-BTTTT,http://Stockbook.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129559
Mạng Xã Hội,,CÔNG TY CỔ PHẦN GAMOTA,393/GP-BTTTT,https://www.playee.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130475
Mạng Xã Hội,,CÔNG TY TNHH CHỨNG KHOÁN JB VIỆT NAM,395/GP-BTTTT,http://finavi.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129685
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN BT VIỆT NAM,394/GP-BTTTT,https://www.nghegiao.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128054
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN UB,392/GP-BTTTT,https://www.ub.com.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/130690
Mạng Xã Hội,,CÔNG TY TNHH QUẢNG CÁO 199SIG,386/GP-BTTTT,http://travelsig.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130400
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VNNPLUS,385/GP-BTTTT,https://www.mkara.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128052
Mạng Xã Hội,,CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ CHỢ NHANH,384/GP-BTTTT,https://www.chonhanh.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130398
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TỔNG CÔNG TY TRUYỀN HÌNH CÁP VIỆT NAM,383/GP-BTTTT,https://www.ongaming.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130420
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ONE MOUNT REAL ESTATE,371/GP-BTTTT,https://www.onehousing.vn.,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/131084
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ TRE XANH,365/GP-BTTTT,https://www.gogame.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130427
Mạng Xã Hội,,CÔNG TY TNHH TRUYỀN THÔNG SƠN TRÀ,359/GP-BTTTT,https://www.sk360.vn.,Đang hoạt động,https://giayphep.abei.gov.vn/s/130436
Mạng Xã Hội,,CỤC THÔNG TIN ĐỐI NGOẠI,342/GP-BTTTT,https://happy.vietnam.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128519
Mạng Xã Hội,,CÔNG TY TNHH RED COMMUNICATIONS,330/GP-BTTTT,https://www.doctor247.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130433
Mạng Xã Hội,,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ TÍN ĐỒ HÀNG HIỆU,320/GP-BTTTT,https://www.tindohanghieu.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130424
Mạng Xã Hội,,CÔNG TY TNHH CHỢ TỐT,322/GP-BTTTT,https://www.nhatot.com.vn và www.nhatot.com,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/128334
Mạng Xã Hội,,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ TIASA,281/GP-BTTTT,https://www.dicamon.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130444
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TẬP ĐOÀN MEEY LAND,280/GP-BTTTT,https://www.meeyproject.vn; www.meeyproject.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/130447
Mạng Xã Hội,,CÔNG TY CỔ PHẦN GIẢI TRÍ 357,279/GP-BTTTT,https://www.game1vn.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128043
Mạng Xã Hội,,CÔNG TY CỔ PHẦN WLIN GLOBAL HOLDINGS,264/GP-BTTTT,https://www.wlin.vn;,Đang hoạt động,https://giayphep.abei.gov.vn/s/130379
Mạng Xã Hội,,CÔNG TY TNHH MTV WEB CỘNG ĐỒNG VIỆT NAM,263/GP-BTTTT,https://www.webcongdong.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131233
Mạng Xã Hội,,CÔNG TY TNHH CÔNG NGHỆ GIẢI TRÍ ALIEN,257/GP-BTTTT,https://www.wifigame.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130471
Mạng Xã Hội,,CÔNG TY TNHH VIỆT NAM EVENT GROUP,255/GP-BTTTT,https://www.stage.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128061
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CHỨNG KHOÁN SSI,253/GP-BTTTT,http://iguru.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/129885
Mạng Xã Hội,,CÔNG TY CỔ PHẦN PHÂN BÓN DẦU KHÍ CÀ MAU,254/GP-BTTTT,https://www.hainong.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130324
Mạng Xã Hội,,CÔNG TY CỔ PHẦN LIVEUP GROUP,222/GP-BTTTT,https://www.10up.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130319
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN HÌNH TƯƠNG TÁC VIỆT NAM,218/GP-BTTTT,http://onlive.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130287
Mạng Xã Hội,,CÔNG TY TNHH AF SERVICES,210/GP-BTTTT,https://http:hoichunganfin.vn; fintown.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130337
Mạng Xã Hội,,CÔNG TY CỔ PHẦN VTC DỊCH VỤ DI ĐỘNG,209/GP-BTTTT,https://www.vtcesports.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/130528
Mạng Xã Hội,,CÔNG TY TNHH DFINITY TECHNOLOGY,204/GP-BTTTT,http://livo.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130314
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ GIẢI TRÍ HAHAHA,205/GP-BTTTT,https://www.trollxe.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130533
Mạng Xã Hội,,CÔNG TY TNHH KAS CARE,206/GP-BTTTT,https://www.o50.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128036
Mạng Xã Hội,,CÔNG TY TNHH 24HMONEY,203/GP-BTTTT,http://24hmoney.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128080
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ĐẦU ACM HOLDINGS,183/GP-BTTTT,https://www.ktdn.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130262
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ESTUARY,184/GP-BTTTT,https://www.sotayskdd.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130480
Mạng Xã Hội,,CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ KTS CORER 4.0 GROUP,170/GP-BTTTT,https://www.corer.com.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130425
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỨC NGHIỆP,127/GP-BTTTT,https://www.ducnghiep.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131227
Mạng Xã Hội,,CÔNG TY TNHH TRUYỀN THÔNG VÀ DU LỊCH QUỐC TẾ ICC,126/GP-BTTTT,https://www.vietnamlink.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128731
Mạng Xã Hội,,CÔNG TY CỔ PHẦN YOTEL,125/GP-BTTTT,https://www.thegioicamxuc.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130315
Mạng Xã Hội,,CÔNG TY CỔ PHẦN OPP VIỆT NAM,122/GP-BTTTT,https://www.tamtinh.vn; www.congdongyduoc.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/128829
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ANT LEARNING VIỆT NAM,115/GP-BTTTT,http://ant-learning.com.vn; http://ant-learning.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/128615
Mạng Xã Hội,,CÔNG TY TNHH MAYBEVERSE,104/GP-BTTTT,https://www.maybe.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130618
Mạng Xã Hội,,CÔNG TY TNHH FANTICK VIỆT NAM,100/GP-BTTTT,https://fantick.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/129826
Mạng Xã Hội,,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THỂ THAO X,105/GP-BTTTT,https://www.sporttech.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130217
